Site,emmean,SE,df,lower.CL,upper.CL,.group,the.emmean,pri.fac,lcmpl,rcmpl
SM,-0.16926420484302968,0.014075790315450216,7.221934402696395,-0.20234193086057434,-0.136186478825485,A,-0.16926420484302968,SM,NA,-0.13368810532699527
RV,-0.14996239938803155,0.014135320404350261,7.348807660722228,-0.18306818413764397,-0.11685661463841913,A,-0.14996239938803155,RV,-0.1713617104954459,-0.11440162507109118
Yolo,-0.1293511225020692,0.014136165999607337,7.3496318726704155,-0.16245817586078282,-0.09624406914335559,AB,-0.1293511225020692,Yolo,-0.16527738286621368,-0.09378970810566468
FCCL,-0.06438892222221888,0.015696789962068764,11.16976325772325,-0.09887336854097961,-0.029904475903458155,B,-0.06438892222221888,FCCL,-0.09955931727313379,NA
