Site,emmean,SE,df,lower.CL,upper.CL,.group,the.emmean,pri.fac,lcmpl,rcmpl
SM,-0.2346112507245065,0.01950996535260088,7.221934403081731,-0.28045914090158786,-0.18876336054742515,A,-0.2346112507245065,SM,NA,-0.1853004515883574
RV,-0.20785768683164235,0.019592477946570677,7.348807661026596,-0.2537444682452371,-0.1619709054180476,A,-0.20785768683164235,RV,-0.23751853064805276,-0.1585681294230682
Yolo,-0.17928910995065395,0.019593649996863357,7.349631872975069,-0.22517764973937587,-0.13340057016193202,AB,-0.17928910995065395,Yolo,-0.2290852549081127,-0.1299986653501112
FCCL,-0.08924725454719372,0.021756776807833993,11.169763255416173,-0.13704495100173164,-0.04144955809265578,B,-0.08924725454719372,FCCL,-0.13799572077870031,NA
