"Deployment","Period","Site","ID","FL_cm","Weight_g","Cage","K"
"Fall","Post","Yolo","YB_110719_74",6.5,1.79,"A",0.652
"Fall","Post","Yolo","YB_110719_75",5.4,0.86,"A",0.546
"Fall","Post","Yolo","YB_110719_76",5.3,0.89,"A",0.598
"Fall","Post","Yolo","YB_110719_77",4.7,0.53,"A",0.51
"Fall","Post","Yolo","YB_110719_78",6,1.2,"A",0.556
"Fall","Post","Yolo","YB_110719_79",6.3,1.68,"A",0.672
"Fall","Post","Yolo","YB_110719_80",6,1.51,"A",0.699
"Fall","Post","Yolo","YB_110719_81",5.8,1.2,"A",0.615
"Fall","Post","Yolo","YB_110719_82",5.6,0.82,"A",0.467
"Fall","Post","Yolo","YB_110719_83",6.1,1.25,"B",0.551
"Fall","Post","Yolo","YB_110719_84",6,1.3,"B",0.602
"Fall","Post","Yolo","YB_110719_85",5.2,0.78,"B",0.555
"Fall","Post","Yolo","YB_110719_86",5.9,1.21,"B",0.589
"Fall","Post","Yolo","YB_110719_87",5.1,0.77,"B",0.58
"Fall","Post","Yolo","YB_110719_88",6.6,1.47,"B",0.511
"Fall","Post","Yolo","YB_110719_89",4.6,0.54,"B",0.555
"Fall","Post","Yolo","YB_110719_90",5.6,0.95,"B",0.541
"Fall","Post","Yolo","YB_110719_91",5.8,1.04,"B",0.533
"Fall","Post","Yolo","YB_110719_92",6.5,1.41,"B",0.513
"Fall","Post","Yolo","YB_110719_93",6.7,1.58,"B",0.525
"Fall","Post","Yolo","YB_110719_94",5.1,0.85,"B",0.641
"Fall","Post","Yolo","YB_110719_95",5.4,0.86,"B",0.546
"Fall","Post","Yolo","YB_110719_96",5.3,0.83,"B",0.558
"Fall","Post","Yolo","YB_110719_97",6.1,1.37,"B",0.604
"Fall","Post","Yolo","YB_110719_98",6.3,1.57,"B",0.628
"Fall","Post","Yolo","YB_110719_99",5.8,1.2,"B",0.615
"Fall","Post","Yolo","YB_110719_100",6.3,1.51,"B",0.604
"Fall","Post","Yolo","YB_110719_101",5,0.61,"B",0.488
"Fall","Post","Yolo","YB_110719_102",6,1.21,"B",0.56
"Fall","Post","Yolo","YB_110719_103",6.1,1.5,"B",0.661
"Fall","Post","Yolo","YB_110719_104",6,1.27,"B",0.588
"Fall","Post","Yolo","YB_110719_105",5.8,1.18,"B",0.605
"Fall","Post","Yolo","YB_110719_106",5.8,1.2,"B",0.615
"Fall","Post","Yolo","YB_110719_107",6.3,1.63,"B",0.652
"Fall","Post","Yolo","YB_110719_108",6.2,1.37,"B",0.575
"Fall","Post","Yolo","YB_110719_109",5.6,0.99,"B",0.564
"Fall","Post","Yolo","YB_110719_110",5.6,0.96,"B",0.547
"Fall","Post","Yolo","YB_110719_111",6,1.06,"B",0.491
"Fall","Post","Yolo","YB_110719_112",6.5,1.79,"B",0.652
"Fall","Post","Yolo","YB_110719_113",5.4,0.78,"B",0.495
"Fall","Post","Yolo","YB_110719_114",6,1.24,"B",0.574
"Fall","Post","Yolo","YB_110719_115",6,1.4,"B",0.648
"Fall","Post","Yolo","YB_110719_116",6.4,1.57,"B",0.599
"Fall","Post","Yolo","YB_110719_117",5.9,1.19,"B",0.579
"Fall","Post","Yolo","YB_110719_118",5,0.62,"B",0.496
"Fall","Post","Yolo","YB_110719_119",5.3,0.89,"B",0.598
"Fall","Post","Yolo","YB_110719_120",6.2,1.52,"B",0.638
"Fall","Post","Yolo","YB_110719_121",5.2,0.8,"B",0.569
"Fall","Post","Yolo","YB_110719_122",5.6,0.98,"B",0.558
"Fall","Post","Yolo","YB_110719_123",7.5,2.74,"C",0.649
"Fall","Post","Yolo","YB_110719_124",5.6,0.89,"C",0.507
"Fall","Post","Yolo","YB_110719_125",5.3,0.87,"C",0.584
"Fall","Post","Yolo","YB_110719_126",5.8,1.21,"C",0.62
"Fall","Post","Yolo","YB_110719_127",5.9,1.12,"C",0.545
"Fall","Post","Yolo","YB_110719_128",5.6,0.92,"C",0.524
"Fall","Post","Yolo","YB_110719_129",5.9,1.9,"C",0.925
"Fall","Post","Yolo","YB_110719_130",5.4,0.98,"C",0.622
"Fall","Post","Yolo","YB_110719_131",6.9,2.29,"C",0.697
"Fall","Post","Yolo","YB_110719_132",5.5,0.83,"C",0.499
"Fall","Post","Yolo","YB_110719_133",5.9,1.07,"C",0.521
"Fall","Post","Yolo","YB_110719_134",6,1.22,"C",0.565
"Fall","Post","Yolo","YB_110719_135",6.5,1.73,"C",0.63
"Fall","Post","Yolo","YB_110719_136",5.4,0.9,"C",0.572
"Fall","Post","Yolo","YB_110719_137",6.5,1.91,"C",0.695
"Fall","Post","Yolo","YB_110719_138",6.5,1.83,"C",0.666
"Fall","Post","Yolo","YB_110719_139",5.9,1.21,"C",0.589
"Fall","Post","Yolo","YB_110719_140",6.2,1.43,"C",0.6
"Fall","Post","Yolo","YB_110719_141",6,1.3,"C",0.602
"Fall","Post","Yolo","YB_110719_142",6,1.25,"C",0.579
"Fall","Post","Yolo","YB_110719_143",4.9,0.55,"C",0.467
"Fall","Post","Yolo","YB_110719_144",5.8,1.16,"C",0.595
"Fall","Post","Yolo","YB_110719_145",6.5,1.72,"C",0.626
"Fall","Post","Yolo","YB_110719_146",5.8,1.1,"C",0.564
"Fall","Post","Yolo","YB_110719_147",5.8,1.04,"C",0.533
"Fall","Post","Yolo","YB_110719_148",6,1.23,"C",0.569
"Fall","Post","Yolo","YB_110719_149",5.8,1.2,"C",0.615
"Fall","Post","Yolo","YB_110719_150",6.1,1.39,"C",0.612
"Fall","Post","Yolo","YB_110719_151",7.1,1.29,"C",0.36
"Fall","Post","Yolo","YB_110719_152",7,2.05,"C",0.598
"Fall","Post","Yolo","YB_110719_153",6.2,1.37,"C",0.575
"Fall","Post","Yolo","YB_110719_154",6,1.23,"C",0.569
"Fall","Post","Yolo","YB_110719_155",6,1.24,"C",0.574
"Fall","Post","Yolo","YB_110719_156",5.9,1.13,"C",0.55
"Fall","Post","Yolo","YB_110719_157",4.8,0.55,"C",0.497
"Fall","Post","Yolo","YB_110719_158",6.2,1.63,"C",0.684
"Fall","Post","Yolo","YB_110719_159",5.6,1.03,"C",0.587
"Fall","Post","Yolo","YB_110719_160",5.4,0.97,"C",0.616
"Fall","Post","Yolo","YB_110719_161",5.7,1.19,"C",0.643
