"Deployment","Site","Survived","TotalFish","Prop"
"Winter","RV",120,128,0.938
"Summer","RV",131,180,0.728
"Summer","Yolo",0,60,0
"Fall","RV",156,180,0.867
"Fall","SM",172,180,0.956
"Fall","Yolo",159,180,0.883
