Site,emmean,SE,df,lower.CL,upper.CL,.group,the.emmean,pri.fac,lcmpl,rcmpl
SM,-0.5471764259319807,0.07388523938435887,7.329867116115402,-0.7203059414699984,-0.374046910393963,A,-0.5471764259319807,SM,NA,-0.3610555206848267
Yolo,-0.4715740087747018,0.07414574654453111,7.43583235110128,-0.6448389925780941,-0.2983090249713095,A,-0.4715740087747018,Yolo,-0.551091072228398,-0.34752946481469527
RV,-0.3958201129280175,0.0741419989585289,7.434968662749608,-0.5690801465664164,-0.22256007928961857,A,-0.3958201129280175,RV,-0.551091072228398,-0.34752946481469527
FCCL,-0.3514441111111126,0.08094924776809287,10.561961724386073,-0.5305178937895304,-0.17237032843269484,A,-0.3514441111111126,FCCL,-0.5355087024859698,NA
