Site,emmean,SE,df,lower.CL,upper.CL,.group,the.emmean,pri.fac,lcmpl,rcmpl
SM,-0.3178794723997207,0.042923272688459954,7.3298672075474585,-0.41845822737100874,-0.21730071742843265,A,-0.3178794723997207,SM,NA,-0.20975343252213896
Yolo,-0.2739586174036431,0.043074613037471704,7.435832424838536,-0.37461607199940455,-0.1733011628078816,A,-0.2739586174036431,Yolo,-0.3201536670471611,-0.20189554538026022
RV,-0.2299497615840248,0.04307243589583224,7.434968736484706,-0.33060434040610404,-0.12929518276194557,A,-0.2299497615840248,RV,-0.3201536670471611,-0.20189554538026022
FCCL,-0.2041697400277006,0.047027073529173236,10.561961240369508,-0.3082017875957186,-0.1001376924596826,A,-0.2041697400277006,FCCL,-0.31110117450146957,NA
