acc temp,mean ctm,temp sd,ID,expt,loc,study
15.6,25.6,1.34,g,16,Field,Bell
16.5,26.5,0.86,h,17,Field,Bell
22.6,27.6,3.01,i,25,Field,Bell
11.9,27.1,0.8,c,12,Lab,Komoroske
16.7,28.2,0.5,a,17,Lab,Davis
15.7,28.2,0.7,d,16,Lab,Komoroske
19.7,28.9,0.7,e,20,Lab,Komoroske
20.2,29.7,0.38,b,20,Lab,Davis
17,25.4,1.7,f,17,Lab,Swanson
