Taxa Group,Taxlifestage,EMPCode,CageCode,Carbon_weight_ug,WetWeight_g,Notes
Limnoithona,Limnoithona_UnID Juvenile,LIMNOJUV,Limnoithona spp copepodite,0.04,0.0000005,
Limnoithona,Limnoithona tetraspina Adult,LIMNOTET,Limnoithona tetraspina adult,0.13,0.0000056,
Cyclopoid Copepod,,,Macrocyclops sp. adult,3.3,0.0000444,Use other cyclopoid value
Cyclopoid Copepod,,,Macrocyclops sp. copepodid,1.6,0.0000137,Use other cyclopoid value
Cyclopoid Copepod,,,Microcyclops spp adult ,3.3,0.0000444,Use other cyclopoid value
Cladoceran,,,Monospilus spp,1,0.0000301,Use other cladoceran value
Isopod,,,Munnidae,,,Isopod
Other,,,Naididae,NA,NA,Oligo worm. Don't include. Not in diets and limited zoop. Mention as caveat
Other,,,Nematoda,NA,NA,Don't include. Not in diets and limited zoop. Mention as caveat
Cumacean,,,Nippoleucon hinumensis,13.2,0.0003307,From diet study data. Carbon weight = wet weight (330.7ug) *.04
Rotifer,,,Notholca spp,0.1,0.0000036,Use other rotifer value
Other,,,Ostracod,NA,NA,Don't include. Not in diets and limited zoop. Mention as caveat
Rotifer,,,Plationus spp,0.1,0.0000036,Use other rotifer value
Rotifer,,,Platyias spp,0.1,0.0000036,Use other rotifer value
Rotifer,Polyarthra_UnID Adult,POLYARTH,Polyarthra spp,0.28,0.0000005,
Insect,,,Polycentropodidae larvae,NA,NA,Caddisfly. Don't include. Not in diets and limited zoop. Mention as caveat
Other,,,Polychaete larvae,NA,NA,Don't include. Not in diets and limited zoop. Mention as caveat
Pseudodiaptomus,Pseudodiaptomus_UnID Adult,,Pseudodiaptomus adult,2.66,0.0000549,
Pseudodiaptomus Juvenile,Pseudodiaptomus_UnID Juvenile,,Pseudodiaptomus copepodid,1.15,0.0000137,
Pseudodiaptomus,Pseudodiaptomus forbesi Adult,PDIAPFOR,Pseudodiaptomus forbesi adult,2.66,0.0000549,
Pseudodiaptomus Juvenile,Pseudodiaptomus forbesi Juvenile,PDIAPJUV,Pseudodiaptomus forbesi copepodid,1.15,0.0000137,
Copepod nauplii,,,Pseudodiaptomus forbesi nauplius,0.1,0.0000018,
Pseudodiaptomus,Pseudodiaptomus marinus Adult,PDIAPMAR,Pseudodiaptomus marinus adult,4.9,0.0000733,
Copepod nauplii,Pseudodiaptomus_UnID Larva,PDIAPNAUP,Pseudodiaptomus spp nauplii,0.1,0.0000018,
Rotifer,Rotifera_UnID Adult,OTHROT,Rotifer UNID,0.1,0.0000036,
Cladoceran,,,Simocephalus spp,1,0.0000301,Use other cladoceran value
Cladoceran,,,Simocephalus sp.,1,0.0000301,
Calanoid Copepod,Sinocalanus doerrii Adult,SINOCAL,Sinocalanus doerrii adult,3.41,0.0000707,
Calanoid Copepod,Sinocalanus doerrii Juvenile,SINOCALJUV,Sinocalanus doerrii copepodid,1.81,0.0000236,
Copepod nauplii,Sinocalanus doerrii Larva,SINONAUP,Sinocalanus doerrii nauplii,0.07,0.0000027,
Calanoid Copepod,Sinocalanus_UnID Juvenile,,Sinocalanus spp copepodid,1.81,0.0000236,
Copepod nauplii,Sinocalanus_UnID Larva,,Sinocalanus spp nauplii,0.07,0.0000027,
Rotifer,Synchaeta bicornis Adult,SYNCH,Synchaeta bicornis adult,0.12,0.0000018,
Rotifer,Synchaeta_UnID Adult,,Synchaeta spp adult,0.12,0.0000018,
Tanaid,,,Tanaidacea,NA,0.000156,Wet Weight from Diet Study Data. Decided not to convert to carbon from this since it over inflated things. Assume biomass as amphipods since about the same size
Other,,,Tardigrada,NA,NA,Don't include. Not in diets and limited zoop. Mention as caveat
Rotifer,,,Testudinella spp,0.1,0.0000036,Use other rotifer value
Calanoid Copepod,Tortanus_UnID Adult,TORTANUS,Tortanus adult,15.89,0.0002196,
Calanoid Copepod,Tortanus_UnID Juvenile,TORTJUV,Tortanus copepodid,7.95,0.0000301,
Calanoid Copepod,Tortanus dextrilobatus Adult,,Tortanus dextrilobatus adult,15.89,0.0002196,
Calanoid Copepod,Tortanus dextrilobatus Juvenile,,Tortanus dextrilobatus copepodid,7.95,0.0000301,
Rotifer,Trichocerca_UnID Adult,TRICHO,Trichocerca spp,0.12,0.0000023,
Insect,,,Trichoptera adult UNID,NA,NA,Caddisfly. Don't include. Not in diets and limited zoop. Mention as caveat
Rotifer,,,Trichotria spp,0.1,0.0000036,Use other rotifer value
Other,,,Turbellaria,NA,NA,Platy worm. Don't include. Not in diets and limited zoop. Mention as caveat
Insect,,,UNID Insect adult,17.6,0.000164,Use Chironomid larvae. From diet study data. Carbon weight = wet weight (440ug) *.04
Cyclopoid Copepod,Acanthocyclops vernalis Adult,,,3.36,0.0000382,
Calanoid Copepod,Acartia_UnID Adult,ACARTIA,,2.98,0.0000719,
Calanoid Copepod,Acartia_UnID Juvenile,ACARJUV,,1.3,0.0000114,
Cladoceran,Daphniidae_UnID Adult,,,1,,
Cyclopoid Copepod,Oithona davisae Adult,OITHDAV,,0.2,0.0000042,
Cyclopoid Copepod,Oithona similis Adult,OITHSIM,,0.2,0.0000092,
Cyclopoid Copepod,Oithona_UnID Adult,OITHSPP,,0.2,0.0000066,
Cyclopoid Copepod,Oithona_UnID Juvenile,OITHJUV,,0.07,0.0000011,
