ReleaseEvent,ReleaseDate,Site,Type,Mark,Latitude,Longitude
BY2021 1,12/14/2021,Rio Vista,Unknown,adclipped,38.124736,-121.699521
BY2021 1,12/14/2021,Rio Vista,Unknown,vie-right/red/mid-dorsal,38.124736,-121.699521
BY2022 1b,11/30/2022,Rio Vista,Hard,vie-left/red/anterior dorsal,38.124736,-121.699521
BY2022 2a,1/18/2023,Rio Vista,Hard,vie-right/orange/posterior dorsal,38.124736,-121.699521
BY2022 2b,1/18/2023,Rio Vista,Trailer Release,adclipped,38.139752,-121.694706
BY2022 3a,1/25/2023,SDWSC,Hard,vie-left/orange/anterior dorsal,38.275563,-121.661374
BY2022 2a,1/18/2019,Rio Vista,Hard,vie-right/orange/posterior dorsal,38.124736,-121.699521
BY2022 3b,1/26/2023,SDWSC,Soft,vie-right/green/posterior dorsal,38.237842,-121.673802
BY2022 2b,1/18/2023,Rio Vista,Hard (trailer),adclipped,38.139752,-121.694706
BY2023 LS1,11/15/2023,Rio Vista,Hard (large scale),vie-left/green/anterior dorsal,38.139752,-121.694706
BY2023 LS2,1/10/2024,Rio Vista,Hard (large scale),adclipped,38.139752,-121.694706
BY2023 3a,1/24/2024,Rio Vista,Hard (carboy),vie-left/orange/posterior dorsal,38.124736,-121.699521
BY2023 3b,1/25/2024,Rio Vista,Soft (carboy),vie-right/orange/anterior dorsal,38.124736,-121.699521
BY2023 4a,1/31/2024,Rio Vista,Hard (trailer),vie-left/red/posterior dorsal,38.124736,-121.699521
BY2023 4b,1/30/2024,Rio Vista,Soft (carboy),vie-right/red/anterior dorsal,38.124736,-121.699521
BY2023 1a,12/12/2023,Rio Vista,Hard (carboy),vie-left/blue/posterior dorsal,38.124736,-121.699521
BY2023 1b,12/14/2023,Rio Vista,Soft (carboy),vie-right/blue/anterior dorsal,38.124736,-121.699521
