"","Release","meadist","SD","CV"
"1","RV Hard",32457.4195085632,26343.5088085765,0.811632878011954
"2","RV Hard Trailer",65598.2571500795,37873.1714239687,0.577350269189626
"3","DWSC soft",12484.7559823557,11414.8480689765,0.914302857429388
"4","DWSC hard",32997.6096724403,29532.51085407,0.894989399148377
