"","Cage","Pre_FL_cm","Pre_Weight_g","Pre_CF","Post_FL_cm","Post_Weight_g","Post_CF","Delta_CF","Site","Mesh"
"1","A",6,1.59,0.736,6.1,1.28,0.564,-0.172,"DWSC","wrap"
"2","A",6.3,1.1,0.44,6.4,0.97,0.37,-0.07,"DWSC","wrap"
"3","A",5.6,1.2,0.683,5.8,1.06,0.543,-0.14,"DWSC","wrap"
"4","A",NA,NA,NA,6.1,1.3,0.573,NA,"DWSC","wrap"
"5","A",6.5,1.89,0.688,6.6,1.62,0.563,-0.125,"DWSC","wrap"
"6","A",5.7,1.15,0.621,5.7,1.14,0.616,-0.005,"DWSC","wrap"
"7","A",5.9,1.13,0.55,5.9,1.19,0.579,0.029,"DWSC","wrap"
"8","A",6.6,2.29,0.797,6.7,2.02,0.672,-0.125,"DWSC","wrap"
"9","A",6.4,1.88,0.717,6.4,1.63,0.622,-0.095,"DWSC","wrap"
"10","A",5.8,1.38,0.707,5.8,1.1,0.564,-0.143,"DWSC","wrap"
"11","A",6.7,2.27,0.755,6.7,2.02,0.672,-0.083,"DWSC","wrap"
"12","A",NA,NA,NA,6.9,1.56,0.475,NA,"DWSC","wrap"
"13","A",6,1.45,0.671,6,1.25,0.579,-0.092,"DWSC","wrap"
"14","A",6.1,1.32,0.582,6,1.05,0.486,-0.096,"DWSC","wrap"
"15","A",6.1,1.55,0.683,6.3,1.31,0.524,-0.159,"DWSC","wrap"
"16","A",6,1.31,0.606,5.8,1.13,0.579,-0.027,"DWSC","wrap"
"17","A",5,0.98,0.784,5.3,0.88,0.591,-0.193,"DWSC","wrap"
"18","A",7.1,2.5,0.698,7,2.16,0.63,-0.068,"DWSC","wrap"
"19","A",6.2,1.57,0.659,6.2,1.5,0.629,-0.03,"DWSC","wrap"
"20","A",5.5,1.13,0.679,5.6,0.91,0.518,-0.161,"DWSC","wrap"
"21","A",NA,NA,NA,5.6,0.96,0.547,NA,"DWSC","wrap"
"22","A",6.7,1.96,0.652,6.6,1.77,0.616,-0.036,"DWSC","wrap"
"23","A",6,1.71,0.792,6.2,1.53,0.642,-0.15,"DWSC","wrap"
"24","A",6.4,1.7,0.648,6.4,1.41,0.538,-0.11,"DWSC","wrap"
"25","A",6.7,1.88,0.625,6.9,1.66,0.505,-0.12,"DWSC","wrap"
"26","A",6.5,1.49,0.543,6.4,1.17,0.446,-0.097,"DWSC","wrap"
"27","A",NA,NA,NA,6.1,0.78,0.344,NA,"DWSC","wrap"
"28","A",5.2,0.78,0.555,5.4,0.53,0.337,-0.218,"DWSC","wrap"
"29","A",5.6,1.16,0.661,5.7,0.98,0.529,-0.132,"DWSC","wrap"
"30","A",6,1.33,0.616,6,1.13,0.523,-0.093,"DWSC","wrap"
"31","A",6.9,2.39,0.728,7.1,2.04,0.57,-0.158,"DWSC","wrap"
"32","A",NA,NA,NA,5.3,0.84,0.564,NA,"DWSC","wrap"
"33","A",6.3,1.45,0.58,6.1,1.16,0.511,-0.069,"DWSC","wrap"
"34","A",5.5,1.15,0.691,5.6,1.02,0.581,-0.11,"DWSC","wrap"
"35","A",6.1,1.47,0.648,6.2,1.18,0.495,-0.153,"DWSC","wrap"
"36","A",5.5,1.01,0.607,5.6,0.75,0.427,-0.18,"DWSC","wrap"
"37","A",6,1.55,0.718,6,1.19,0.551,-0.167,"DWSC","wrap"
"38","A",6.2,1.56,0.655,6.3,1.25,0.5,-0.155,"DWSC","wrap"
"39","A",6,1.21,0.56,6.2,0.87,0.365,-0.195,"DWSC","wrap"
"40","A",6,1.06,0.491,6,0.75,0.347,-0.144,"DWSC","wrap"
"41","A",5,0.83,0.664,5.2,0.7,0.498,-0.166,"DWSC","wrap"
"42","A",6.3,1.62,0.648,6.3,1.33,0.532,-0.116,"DWSC","wrap"
"43","A",6.4,1.8,0.687,6.5,1.64,0.597,-0.09,"DWSC","wrap"
"44","A",6.3,1.74,0.696,6.4,1.52,0.58,-0.116,"DWSC","wrap"
"45","A",5.8,1.27,0.651,6,0.99,0.458,-0.193,"DWSC","wrap"
"46","A",6.8,2.13,0.677,6.8,1.85,0.588,-0.089,"DWSC","wrap"
"47","A",5.3,1.01,0.678,5.5,0.96,0.577,-0.101,"DWSC","wrap"
"48","A",7,1.92,0.56,7.1,1.47,0.411,-0.149,"DWSC","wrap"
"49","A",7.5,3.09,0.732,7.6,2.84,0.647,-0.085,"DWSC","wrap"
"50","A",6.8,2.55,0.811,6.9,2.18,0.664,-0.147,"DWSC","wrap"
"51","A",6,1.2,0.556,6,1.06,0.491,-0.065,"DWSC","wrap"
"52","A",5.9,1.31,0.638,6.9,1.1,0.335,-0.303,"DWSC","wrap"
"53","A",NA,NA,NA,4.9,0.47,0.399,NA,"DWSC","wrap"
"54","A",5.7,1.01,0.545,5.7,0.77,0.416,-0.129,"DWSC","wrap"
"55","A",5.8,1.25,0.641,5.9,1,0.487,-0.154,"DWSC","wrap"
"56","A",5.9,1.24,0.604,5.7,1.01,0.545,-0.059,"DWSC","wrap"
"57","A",NA,NA,NA,5.5,0.79,0.475,NA,"DWSC","wrap"
"58","A",5.9,1.44,0.701,6,1.32,0.611,-0.09,"DWSC","wrap"
"59","A",NA,NA,NA,5.9,1.17,0.57,NA,"DWSC","wrap"
"60","A",5.9,1.32,0.643,5.8,1.44,0.738,0.095,"RV","wrap"
"61","A",5.9,1.45,0.706,6,1.68,0.778,0.072,"RV","wrap"
"62","A",6.7,1.65,0.549,6.9,2.05,0.624,0.075,"RV","wrap"
"63","A",6.1,1.5,0.661,6.3,1.74,0.696,0.035,"RV","wrap"
"64","A",6,1.07,0.495,5.9,1.34,0.652,0.157,"RV","wrap"
"65","A",6.4,1.67,0.637,6.5,2.1,0.765,0.128,"RV","wrap"
"66","A",5.8,1.12,0.574,5.8,1.63,0.835,0.261,"RV","wrap"
"67","A",6.1,1.35,0.595,6.1,1.72,0.758,0.163,"RV","wrap"
"68","A",5,0.78,0.624,5.5,1.21,0.727,0.103,"RV","wrap"
"69","A",6.3,1.79,0.716,6.3,2.13,0.852,0.136,"RV","wrap"
"70","A",6,1.21,0.56,6,1.46,0.676,0.116,"RV","wrap"
"71","A",6.4,1.71,0.652,6.5,1.8,0.655,0.003,"RV","wrap"
"72","A",5.6,0.98,0.558,5.5,1.2,0.721,0.163,"RV","wrap"
"73","A",5.9,1.05,0.511,5.9,1.49,0.725,0.214,"RV","wrap"
"74","A",6.7,2.35,0.781,6.8,2.47,0.786,0.005,"RV","wrap"
"75","A",4.7,0.73,0.703,5,0.97,0.776,0.073,"RV","wrap"
"76","A",6.1,1.35,0.595,6.3,1.75,0.7,0.105,"RV","wrap"
"77","A",6,1.29,0.597,6.1,1.53,0.674,0.077,"RV","wrap"
"78","A",5.7,1.07,0.578,5.8,1.26,0.646,0.068,"RV","wrap"
"79","A",6.3,1.53,0.612,6.4,1.83,0.698,0.086,"RV","wrap"
"80","A",5.6,1.18,0.672,5.5,1.42,0.853,0.181,"RV","wrap"
"81","A",6,1.41,0.653,5.9,1.61,0.784,0.131,"RV","wrap"
"82","A",5.4,0.87,0.553,5.5,1.3,0.781,0.228,"RV","wrap"
"83","A",6,1.2,0.556,6.2,1.64,0.688,0.132,"RV","wrap"
"84","A",5.9,1.26,0.613,6,1.37,0.634,0.021,"RV","wrap"
"85","A",6.9,2.01,0.612,7,2.18,0.636,0.024,"RV","wrap"
"86","A",5.5,1.1,0.661,5.9,1.25,0.609,-0.052,"RV","wrap"
"87","A",5.9,1.36,0.662,6.4,2,0.763,0.101,"RV","wrap"
"88","A",6.9,2.16,0.658,5.9,2.16,1.052,0.394,"RV","wrap"
"89","A",6,1.28,0.593,6,1.44,0.667,0.074,"RV","wrap"
"90","A",5.5,1.04,0.625,5.5,1.12,0.673,0.048,"RV","wrap"
"91","A",6,1.54,0.713,6.2,1.65,0.692,-0.021,"RV","wrap"
"92","A",5.5,1.14,0.685,5.8,1.51,0.774,0.089,"RV","wrap"
"93","A",6.4,1.68,0.641,6.5,1.9,0.692,0.051,"RV","wrap"
"94","A",5.3,1.08,0.725,5.5,1.25,0.751,0.026,"RV","wrap"
"95","A",6,1.55,0.718,6.2,1.72,0.722,0.004,"RV","wrap"
"96","A",5.8,1.14,0.584,5.9,1.32,0.643,0.059,"RV","wrap"
"97","A",6.7,2.08,0.692,5.8,2.15,1.102,0.41,"RV","wrap"
"98","A",6.1,1.31,0.577,6.3,1.57,0.628,0.051,"RV","wrap"
"99","A",5.7,1.19,0.643,5.9,1.21,0.589,-0.054,"RV","wrap"
"100","A",5.7,1.27,0.686,5.9,1.49,0.725,0.039,"RV","wrap"
"101","A",6.3,1.67,0.668,6,1.8,0.833,0.165,"RV","wrap"
"102","A",6.1,1.72,0.758,6.3,1.85,0.74,-0.018,"RV","wrap"
"103","A",6,1.64,0.759,6.2,1.77,0.743,-0.016,"RV","wrap"
"104","A",5.5,1.04,0.625,5.1,1.17,0.882,0.257,"RV","wrap"
"105","A",6.4,1.6,0.61,6.3,1.5,0.6,-0.01,"RV","wrap"
"106","A",6.5,1.8,0.655,6.6,2.02,0.703,0.048,"RV","wrap"
"107","A",4.7,0.71,0.684,5.1,1.06,0.799,0.115,"RV","wrap"
"108","A",5.7,1.23,0.664,5.9,1.5,0.73,0.066,"RV","wrap"
"109","A",5.3,0.95,0.638,5.5,1.15,0.691,0.053,"RV","wrap"
"110","A",6.2,1.85,0.776,6.3,2.08,0.832,0.056,"RV","wrap"
"111","A",5.3,1.04,0.699,5.5,1.22,0.733,0.034,"RV","wrap"
