Cage,Tag,Pre_FL_cm,Pre_Weight_g,Pre_CF,Post_FL_cm,Post_Weight_g,Post_CF,Delta_CF,Pre_post_Match
A,RG27,6,1.59,0.736,6.1,1.28,0.564,-0.172,Y
A,RB67,6.3,1.1,0.44,6.4,0.97,0.37,-0.07,Y
A,RF71,5.6,1.2,0.683,5.8,1.06,0.543,-0.14,Y
A,NTA1,NA,NA,NA,6.1,1.3,0.573,NA,N
A,RG48,6.5,1.89,0.688,6.6,1.62,0.563,-0.125,Y
A,RB47,5.7,1.15,0.621,5.7,1.14,0.616,-0.005,Y
A,RL85,5.9,1.13,0.55,5.9,1.19,0.579,0.029,Y
A,RG99,6.6,2.29,0.797,6.7,2.02,0.672,-0.125,Y
A,RG11,6.4,1.88,0.717,6.4,1.63,0.622,-0.095,Y
A,RF46,5.8,1.38,0.707,5.8,1.1,0.564,-0.143,Y
A,RB35,6.7,2.27,0.755,6.7,2.02,0.672,-0.083,Y
A,RD83,NA,NA,NA,6.9,1.56,0.475,NA,N
A,RL36,6,1.45,0.671,6,1.25,0.579,-0.092,Y
A,RG36,6.1,1.32,0.582,6,1.05,0.486,-0.096,Y
A,RC95,6.1,1.55,0.683,6.3,1.31,0.524,-0.159,Y
A,RH35,6,1.31,0.606,5.8,1.13,0.579,-0.027,Y
A,RC21,5,0.98,0.784,5.3,0.88,0.591,-0.193,Y
A,RF45,7.1,2.5,0.698,7,2.16,0.63,-0.068,Y
A,RF28,6.2,1.57,0.659,6.2,1.5,0.629,-0.03,Y
A,RD38,5.5,1.13,0.679,5.6,0.91,0.518,-0.161,Y
A,NTA2,NA,NA,NA,5.6,0.96,0.547,NA,N
A,RH19,6.7,1.96,0.652,6.6,1.77,0.616,-0.036,Y
A,RJ09,6,1.71,0.792,6.2,1.53,0.642,-0.15,Y
A,RD60,6.4,1.7,0.648,6.4,1.41,0.538,-0.11,Y
A,RI31,6.7,1.88,0.625,6.9,1.66,0.505,-0.12,Y
A,RA39,6.5,1.49,0.543,6.4,1.17,0.446,-0.097,Y
A,NTA3,NA,NA,NA,6.1,0.78,0.344,NA,N
A,OO14,5.2,0.78,0.555,5.4,0.53,0.337,-0.218,Y
A,RI32,5.6,1.16,0.661,5.7,0.98,0.529,-0.132,Y
A,RG37,6,1.33,0.616,6,1.13,0.523,-0.093,Y
A,RC33,6.9,2.39,0.728,7.1,2.04,0.57,-0.158,Y
A,NTA4,NA,NA,NA,5.3,0.84,0.564,NA,N
A,RJ47,6.3,1.45,0.58,6.1,1.16,0.511,-0.069,Y
A,RF40,5.5,1.15,0.691,5.6,1.02,0.581,-0.11,Y
A,RL41,6.1,1.47,0.648,6.2,1.18,0.495,-0.153,Y
A,RN42,5.5,1.01,0.607,5.6,0.75,0.427,-0.18,Y
A,RC93,6,1.55,0.718,6,1.19,0.551,-0.167,Y
A,RK69,6.2,1.56,0.655,6.3,1.25,0.5,-0.155,Y
A,RF12,6,1.21,0.56,6.2,0.87,0.365,-0.195,Y
A,RB45,6,1.06,0.491,6,0.75,0.347,-0.144,Y
A,RL28,5,0.83,0.664,5.2,0.7,0.498,-0.166,Y
A,RG76,6.3,1.62,0.648,6.3,1.33,0.532,-0.116,Y
A,RH82,6.4,1.8,0.687,6.5,1.64,0.597,-0.09,Y
A,RG89,6.3,1.74,0.696,6.4,1.52,0.58,-0.116,Y
A,RL17,5.8,1.27,0.651,6,0.99,0.458,-0.193,Y
A,RJ16,6.8,2.13,0.677,6.8,1.85,0.588,-0.089,Y
A,OO74,5.3,1.01,0.678,5.5,0.96,0.577,-0.101,Y
A,RI81,7,1.92,0.56,7.1,1.47,0.411,-0.149,Y
A,RN55,7.5,3.09,0.732,7.6,2.84,0.647,-0.085,Y
A,RI20,6.8,2.55,0.811,6.9,2.18,0.664,-0.147,Y
A,RB71,6,1.2,0.556,6,1.06,0.491,-0.065,Y
A,RJ69,5.9,1.31,0.638,6.9,1.1,0.335,-0.303,Y
A,NTA5,NA,NA,NA,4.9,0.47,0.399,NA,N
A,RN09,5.7,1.01,0.545,5.7,0.77,0.416,-0.129,Y
A,RL80,5.8,1.25,0.641,5.9,1,0.487,-0.154,Y
A,RK07,5.9,1.24,0.604,5.7,1.01,0.545,-0.059,Y
A,NTA6,NA,NA,NA,5.5,0.79,0.475,NA,N
A,RL11,5.9,1.44,0.701,6,1.32,0.611,-0.09,Y
A,NTA7,NA,NA,NA,5.9,1.17,0.57,NA,N
B,RF94,6.3,1.82,0.728,6.2,1.2,0.504,-0.224,Y
B,RJ72,6.3,1.38,0.552,6.1,1.01,0.445,-0.107,Y
B,RC56,6.1,1.62,0.714,6,1.44,0.667,-0.047,Y
B,RF27,6.2,1.64,0.688,6.2,1.48,0.621,-0.067,Y
B,RL47,6.6,2.24,0.779,6.5,1.33,0.484,-0.295,Y
B,RC86,6.5,1.87,0.681,6.4,1.32,0.504,-0.177,Y
B,RL83,6.1,1.29,0.568,6.2,1.11,0.466,-0.102,Y
B,RF26,6.2,1.31,0.55,6.1,0.98,0.432,-0.118,Y
B,OO51,6,1.38,0.639,6.1,1.09,0.48,-0.159,Y
B,RC27,6.5,1.62,0.59,6.4,1.34,0.511,-0.079,Y
B,RH71,6.2,1.69,0.709,6.2,1.49,0.625,-0.084,Y
B,RA70,6.4,1.69,0.645,6.5,1.41,0.513,-0.132,Y
B,RF70,6,1.29,0.597,6,0.91,0.421,-0.176,Y
B,RN94,6.8,2.08,0.662,6.6,1.8,0.626,-0.036,Y
B,RC07,7,2.3,0.671,6.9,1.86,0.566,-0.105,Y
B,RL54,6.2,1.54,0.646,6.2,1.37,0.575,-0.071,Y
B,RG62,6.7,2.19,0.728,6.7,2.05,0.682,-0.046,Y
B,RC22,6.5,1.71,0.623,6.4,1.36,0.519,-0.104,Y
B,RG50,6.1,1.55,0.683,6.2,1.28,0.537,-0.146,Y
B,RG53,4.8,0.81,0.732,5,0.66,0.528,-0.204,Y
B,RJ71,6.4,1.68,0.641,6.3,0.94,0.376,-0.265,Y
B,RI91,5.5,1.19,0.715,5.7,1.04,0.562,-0.153,Y
B,RB85,5.4,1.07,0.68,5.6,0.97,0.552,-0.128,Y
B,RK94,5.5,0.92,0.553,5.6,0.68,0.387,-0.166,Y
B,NTB1,NA,NA,NA,6.1,1.16,0.511,NA,N
B,RG31,6.5,1,0.364,6.6,1.7,0.591,0.227,Y
B,RL24,5.3,0.85,0.571,5.4,0.69,0.438,-0.133,Y
B,RF13,7,2.78,0.81,7.1,2.52,0.704,-0.106,Y
B,RL30,5.9,1.36,0.662,6,1.06,0.491,-0.171,Y
B,RC05,5.8,1.42,0.728,6,1.19,0.551,-0.177,Y
B,RA55,6.5,1.73,0.63,6.7,1.43,0.475,-0.155,Y
B,RB66,5.9,1.36,0.662,6.2,1,0.42,-0.242,Y
B,RL52,7.1,2.1,0.587,6.9,1.79,0.545,-0.042,Y
B,RD85,6.2,1.51,0.634,6.2,1.13,0.474,-0.16,Y
B,RH53,6.2,1.52,0.638,6.1,1.37,0.604,-0.034,Y
B,RF25,6.2,1.91,0.801,6.3,1.96,0.784,-0.017,Y
B,NTB2,NA,NA,NA,5.9,1.22,0.594,NA,N
B,RF66,5.9,1.6,0.779,6.1,1.36,0.599,-0.18,Y
B,RK45,6.3,1.29,0.516,6.6,1.5,0.522,0.006,Y
B,RH51,5.7,1.17,0.632,5.7,1.06,0.572,-0.06,Y
B,OO98,5.9,1.65,0.803,5.8,1.57,0.805,0.002,Y
B,RF53,7.3,2.49,0.64,7.2,2.11,0.565,-0.075,Y
B,RN16,5.8,1.35,0.692,6,1.19,0.551,-0.141,Y
B,RA25,6.3,1.83,0.732,6.2,1.31,0.55,-0.182,Y
B,RI27,5.8,1.28,0.656,5.7,1.11,0.599,-0.057,Y
B,RA21,6.1,1.61,0.709,6.2,1.41,0.592,-0.117,Y
B,RB43,6.4,2.14,0.816,6.5,1.88,0.685,-0.131,Y
B,RB20,5.7,0.96,0.518,5.5,0.76,0.457,-0.061,Y
B,OO54,6,1.35,0.625,6.1,1.01,0.445,-0.18,Y
B,RA77,6.9,2.3,0.7,5.6,1.68,0.957,0.257,Y
B,OO03,6.6,2.04,0.71,5.6,1.77,1.008,0.298,Y
B,RN88,6.4,1.59,0.607,6.5,1.36,0.495,-0.112,Y
B,RN05,6.5,1.91,0.695,6.5,1.63,0.594,-0.101,Y
B,NTB3,NA,NA,NA,5.1,0.86,0.648,NA,N
B,RG65,6.8,1.67,0.531,6.5,1.29,0.47,-0.061,Y
B,RI80,5.2,1.03,0.733,5.5,0.88,0.529,-0.204,Y
B,RD64,6.2,1.71,0.717,6.4,1.48,0.565,-0.152,Y
B,RG98,6.8,2.19,0.696,6.8,1.94,0.617,-0.079,Y
B,RA82,6.4,1.6,0.61,6.5,1.2,0.437,-0.173,Y
B,RJ20,6.2,1.54,0.646,6.3,1.28,0.512,-0.134,Y
C,RK87,6,1.35,0.625,5.7,1.17,0.632,0.007,Y
C,RI38,5.5,1.17,0.703,5.4,0.97,0.616,-0.087,Y
C,NTC1,NA,NA,NA,6.1,1.46,0.643,NA,N
C,RH06,6.5,1.88,0.685,6.3,1.63,0.652,-0.033,Y
C,RC04,5.7,0.97,0.524,5.1,0.68,0.513,-0.011,Y
C,RC11,6.7,2.09,0.695,6.6,1.79,0.623,-0.072,Y
C,OO07,6.1,1.7,0.749,6.4,1.86,0.71,-0.039,Y
C,RC94,5.8,0.91,0.466,5.7,0.69,0.373,-0.093,Y
C,OO25,6.5,1.98,0.721,6.5,1.74,0.634,-0.087,Y
C,RB77,5.3,0.84,0.564,5.3,0.6,0.403,-0.161,Y
C,NTC2,NA,NA,NA,4.9,0.63,0.535,NA,N
C,RH39,5.7,1.23,0.664,6.5,1.55,0.564,-0.1,Y
C,OO09,6.5,1.83,0.666,6.4,1.53,0.584,-0.082,Y
C,OO67,6.3,1.9,0.76,6.4,1.33,0.507,-0.253,Y
C,RH20,6.8,2.23,0.709,7,1.91,0.557,-0.152,Y
C,OO57,6.2,1.28,0.537,6,1.01,0.468,-0.069,Y
C,RC69,5.7,1.31,0.707,6,1.14,0.528,-0.179,Y
C,RJ86,6.5,1.65,0.601,6.8,1.34,0.426,-0.175,Y
C,RA07,6.5,1.73,0.63,6.8,1.43,0.455,-0.175,Y
C,RA91,6.1,1.23,0.542,6,1.02,0.472,-0.07,Y
C,RL89,5.7,1.48,0.799,5.9,1.31,0.638,-0.161,Y
C,RH94,5.2,0.75,0.533,5.2,0.56,0.398,-0.135,Y
C,RB90,NA,NA,NA,6.7,1.44,0.479,NA,N
C,RK00,6.4,1.76,0.671,6.3,1.39,0.556,-0.115,Y
C,NTC3,NA,NA,NA,6.3,1.58,0.632,NA,N
C,RA06,7,2.49,0.726,7,1.54,0.449,-0.277,Y
C,RL16,6,1.39,0.644,6.2,1.05,0.441,-0.203,Y
C,RL55,5,0.74,0.592,5.2,0.66,0.469,-0.123,Y
C,OO84,6.3,2.05,0.82,6.4,1.38,0.526,-0.294,Y
C,RL77,6.3,1.45,0.58,6.3,1.22,0.488,-0.092,Y
C,RB31,6,1.39,0.644,6.2,1.1,0.462,-0.182,Y
C,OO93,6.3,1.26,0.504,6.4,0.9,0.343,-0.161,Y
C,RK31,6.2,1.83,0.768,6,1.36,0.63,-0.138,Y
C,RF81,6.1,1.32,0.582,6.2,1.01,0.424,-0.158,Y
C,RD74,6.2,1.37,0.575,6.2,0.91,0.382,-0.193,Y
C,RC99,5.8,1.19,0.61,5.8,0.97,0.497,-0.113,Y
C,RD86,5.2,1.13,0.804,5.6,1.03,0.587,-0.217,Y
C,RB59,5.6,1.03,0.587,5.5,0.69,0.415,-0.172,Y
C,RL01,6.8,NA,NA,6.9,1.55,0.472,NA,Y
C,RK04,6,1.55,0.718,6.2,1.33,0.558,-0.16,Y
C,RJ63,6.7,2.01,0.668,6.7,1.78,0.592,-0.076,Y
C,RK56,6,1.36,0.63,5.7,1.04,0.562,-0.068,Y
C,RH39,5.7,1.23,0.664,5.7,1.11,0.599,-0.065,Y
C,RG30,6.2,1.58,0.663,6.2,1.35,0.566,-0.097,Y
C,NTC4,NA,NA,NA,5.9,1.22,0.594,NA,N
C,RA30,6.8,2.29,0.728,7,1.95,0.569,-0.159,Y
C,RN73,5.5,1.04,0.625,5.5,0.81,0.487,-0.138,Y
C,RI92,6.2,1.76,0.738,6.3,1.62,0.648,-0.09,Y
C,RB49,NA,NA,NA,6.2,1.55,0.65,NA,N
C,RF43,6.2,1.63,0.684,6.4,1.49,0.568,-0.116,Y
C,RH73,6.5,2.13,0.776,6.5,1.91,0.695,-0.081,Y
C,OO41,6.1,1.65,0.727,6,1.29,0.597,-0.13,Y
C,NTC5,NA,NA,NA,7.4,2.56,0.632,NA,N
C,OO49,7,2.31,0.673,6.9,2.02,0.615,-0.058,Y
C,RC75,5.6,0.86,0.49,5.5,0.71,0.427,-0.063,Y
C,RC76,6.3,1.7,0.68,6.2,1.49,0.625,-0.055,Y
C,RI70,6.8,2.55,0.811,7,2.35,0.685,-0.126,Y
C,RJ54,6.6,2.25,0.783,7,1.99,0.58,-0.203,Y
D,RB70,6.3,1.54,0.616,6.4,1.41,0.538,-0.078,Y
D,RB23,5.8,1.04,0.533,6.2,0.78,0.327,-0.206,Y
D,RB91,6.7,1.99,0.662,6.7,1.63,0.542,-0.12,Y
D,RG08,6.9,2.48,0.755,7.2,2.15,0.576,-0.179,Y
D,NTD1,NA,NA,NA,6.5,1.69,0.615,NA,N
D,RJ70,6.4,1.8,0.687,6.5,1.56,0.568,-0.119,Y
D,RK29,6.3,1.6,0.64,6.4,1.28,0.488,-0.152,Y
D,RI36,6,1.32,0.611,5.8,0.97,0.497,-0.114,Y
D,RI89,5.3,1.15,0.772,5.2,0.89,0.633,-0.139,Y
D,RH17,5.6,1.13,0.643,5.7,1.06,0.572,-0.071,Y
D,NTD2,NA,NA,NA,6.2,1.09,0.457,NA,N
D,RH27,5,0.84,0.672,5.2,0.65,0.462,-0.21,Y
D,RA56,6.6,1.88,0.654,6.6,1.62,0.563,-0.091,Y
D,RA31,5.5,1.03,0.619,5.7,0.89,0.481,-0.138,Y
D,RH60,6.2,1.65,0.692,6.4,1.39,0.53,-0.162,Y
D,RN62,6.3,1.43,0.572,6.2,1.19,0.499,-0.073,Y
D,OO21,5.8,1.32,0.677,5.5,1.08,0.649,-0.028,Y
D,RB32,5.4,1.02,0.648,5.6,0.81,0.461,-0.187,Y
D,RF78,6.8,1.87,0.595,7.8,1.5,0.316,-0.279,Y
D,RH55,6.6,1.7,0.591,5.3,1.33,0.893,0.302,Y
D,OO29,6.2,1.79,0.751,6.2,1.68,0.705,-0.046,Y
D,RI21,6.3,1.83,0.732,6.4,1.65,0.629,-0.103,Y
D,RI35,6.5,1.73,0.63,6.3,1.44,0.576,-0.054,Y
D,RL53,6.8,2.06,0.655,6.7,1.86,0.618,-0.037,Y
D,RF47,6.2,1.84,0.772,6.7,1.61,0.535,-0.237,Y
D,RK72,5.4,1.1,0.699,5.5,0.94,0.565,-0.134,Y
D,RC17,7,2.49,0.726,7,2.2,0.641,-0.085,Y
D,RF82,6.4,1.84,0.702,6.7,1.61,0.535,-0.167,Y
D,RF14,6.5,1.97,0.717,6.5,1.66,0.604,-0.113,Y
D,OO04,6.8,1.98,0.63,6.4,1.7,0.648,0.018,Y
D,OO71,6,1.21,0.56,6,0.93,0.431,-0.129,Y
D,RL42,5,0.85,0.68,5,0.76,0.608,-0.072,Y
D,RG34,6.5,1.69,0.615,6.5,1.24,0.452,-0.163,Y
D,RA15,5.9,1.23,0.599,6,1.01,0.468,-0.131,Y
D,RJ97,6.4,1.65,0.629,6.2,1.47,0.617,-0.012,Y
D,RF03,6.3,1.82,0.728,6.5,1.55,0.564,-0.164,Y
D,RG47,NA,NA,NA,5.5,0.72,0.433,NA,N
D,RC28,5.8,1.25,0.641,5.6,1.08,0.615,-0.026,Y
D,RG05,5.5,0.88,0.529,5.5,0.66,0.397,-0.132,Y
D,RK38,6.5,1.98,0.721,6.5,1.64,0.597,-0.124,Y
D,RG77,5.9,1.57,0.764,6.1,1.54,0.678,-0.086,Y
D,RG46,NA,NA,NA,5.6,0.91,0.518,NA,N
D,RF60,6.4,1.76,0.671,6.4,1.45,0.553,-0.118,Y
