Location,Recorder,Field.Check,Date,YSI#,Time,Weather,Secchi_m,Water.Temp_C,DO_mg_L,SpCond_uS,EC,pH,Tide,Microsystis_Rank,Turb1,Turb2,Turb3,Avg.Turb_ntu,Vel1,Vel2,Vel3,Avg.Vel_f/s,Zooplankton?,Flow.Speed,Set.Time.min,Start.Time,Start.Meter,End.Meter,Revs,Zoop.Notes,Damage.A,Damage.B,Damage.C,Damage.Notes,Bio.A,Bio.B,Bio.C,Bio.Notes,Plate.Collection?,Mort.A,Mort.B,Mort.C,Fish.Notes,Misc.Notes,Entered.By,Entry.Date,Checked.By,Check.Date
SM,EE,N,10/28/2019,NA,11:35,CLR,NA,15.3,8.44,7683,6251,7.55,Ebb,NA,34.3,31.5,33.2,33.00,NA,NA,NA,NA,Y,Low,2,11:20,992105,991678,427,NA,X,X,X,NA,2,2,2,NA,NA,0,0,0,NA,NA,TJ,12/2/2019,NK,12/16/2019
SM,EE,Y,11/4/2019,NA,12:31,CLR,NA,14.40,7.78,8802.1,7041.9,7.75,Ebb,1,19.4,18.0,19.7,19.03,NA,NA,NA,NA,Y,Low,2,12:43,991391,991281,110,NA,X,X,X,NA,2,2,2,NA,NA,0,0,0,NA,NA,TJ,12/2/2019,NK,12/16/2019
RV,EE,Y,11/4/2019,NA,10:52,CLR,NA,13.54,9.15,134.4,105.0,8.36,Flood,1,4.5,4.9,5.2,4.87,NA,NA,NA,NA,Y,Low,2,10:55,991459,991412,47,NA,X,X,X,NA,2,2,2,NA,NA,0,0,0,NA,NA,TJ,12/2/2019,NK,12/16/2019
Yolo,NK,Y,10/29/2019,2,10:20,CLR,0.34,12.9,9.29,198,152,7.98,Ebb,1,22.3,21.0,20.5,21.27,NA,NA,NA,NA,Y,Low,2,10:20,718196,718400,204,Taken as part of STTD LT.,X,X,X,"Downstream safety line was caught up with a tree, causing cage C to tilt.",1,1,1,Some SAV caught on sides of cages.,NA,0,1,0,NA,NA,TJ,11/26/2019,NK,12/16/2019
Yolo,AC,Y,11/4/2019,3,10:25,CLR,0.48,12.9,9.95,190,146,7.94,Flood,1,13.6,13.6,13.4,13.53,NA,NA,NA,NA,Y,Low,2,10:25,984670,985000,330,Flooding motor against current.,X,X,ü,A hinge(right/downstream) is damaged on cage C.,2,2,2,NA,NA,0,0,0,NA,No flowmeter,TJ,11/26/2019,NK,12/16/2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
