Site,Cage,Enclosure,Mesh,Pre_FL_cm,Post_FL_cm,PropChange_FL,Pre_Weight_g,Post_Weight_g,PropChange_Weight,Pre_CF,Post_CF,Delta_CF
DWSC,C,C,small,5.6,5.5,-0.02,0.86,0.71,-0.17,0.49,0.427,-0.063
DWSC,C,C,small,6.3,6.2,-0.02,1.7,1.49,-0.12,0.68,0.625,-0.055
DWSC,C,C,small,6.8,7,0.03,2.55,2.35,-0.08,0.811,0.685,-0.126
DWSC,C,C,small,6.6,7,0.06,2.25,1.99,-0.12,0.783,0.58,-0.203
RV,C,C,small,5.5,5.8,0.05,1.05,1.46,0.39,0.631,0.748,0.117
RV,C,C,small,6.2,6.2,0,1.53,1.7,0.11,0.642,0.713,0.071
RV,C,C,small,5.4,5.3,-0.02,0.87,1.24,0.43,0.553,0.833,0.28
RV,C,C,small,5.6,5.6,0,1.33,1.31,-0.02,0.757,0.746,-0.011
RV,C,C,small,6.2,6.3,0.02,1.5,1.66,0.11,0.629,0.664,0.035
RV,C,C,small,NA,6.1,NA,NA,1.5,NA,NA,0.661,NA
RV,C,C,small,NA,6.1,NA,NA,1.79,NA,NA,0.789,NA
RV,C,C,small,6.6,6.7,0.02,1.91,2.09,0.09,0.664,0.695,0.031
RV,C,C,small,5.8,6,0.03,1.09,1.23,0.13,0.559,0.569,0.01
RV,C,C,small,5.8,5.9,0.02,1.31,1.4,0.07,0.671,0.682,0.011
RV,C,C,small,5,5,0,0.74,0.83,0.12,0.592,0.664,0.072
RV,C,C,small,6,6,0,1.27,1.53,0.2,0.588,0.708,0.12
RV,C,C,small,6.4,6.6,0.03,2.05,2.25,0.1,0.782,0.783,0.001
RV,C,C,small,5.1,5.5,0.08,0.89,1.12,0.26,0.671,0.673,0.002
RV,C,C,small,6.7,6.1,-0.09,1.95,2.09,0.07,0.648,0.921,0.273
RV,C,C,small,5.1,5.3,0.04,0.91,1.09,0.2,0.686,0.732,0.046
RV,C,C,small,6,5.9,-0.02,1.38,1.54,0.12,0.639,0.75,0.111
RV,C,C,small,5.8,6,0.03,1.33,1.46,0.1,0.682,0.676,-0.006
RV,C,C,small,5.8,5.9,0.02,1.22,1.39,0.14,0.625,0.677,0.052
DWSC,C,C,small,5.6,5.5,-0.02,1.03,0.69,-0.33,0.587,0.415,-0.172
DWSC,C,C,small,6.8,6.9,0.01,NA,1.55,NA,NA,0.472,NA
DWSC,C,C,small,6,6.2,0.03,1.55,1.33,-0.14,0.718,0.558,-0.16
DWSC,C,C,small,6.7,6.7,0,2.01,1.78,-0.11,0.668,0.592,-0.076
DWSC,C,C,small,6,5.7,-0.05,1.35,1.17,-0.13,0.625,0.632,0.007
RV,C,C,small,6.6,6.8,0.03,2.29,2.64,0.15,0.797,0.84,0.043
RV,C,C,small,6.6,6.7,0.02,2.25,2.38,0.06,0.783,0.791,0.008
RV,C,C,small,6.7,6.9,0.03,2.15,2.45,0.14,0.715,0.746,0.031
RV,C,C,small,6,6.2,0.03,1.92,1.95,0.02,0.889,0.818,-0.071
RV,C,C,small,6.2,6.1,-0.02,1.88,1.98,0.05,0.789,0.872,0.083
RV,C,C,small,5.8,6,0.03,1.23,1.4,0.14,0.63,0.648,0.018
RV,C,C,small,6.7,6.8,0.01,2.18,2.34,0.07,0.725,0.744,0.019
RV,C,C,small,6.7,6.7,0,2.05,2.25,0.1,0.682,0.748,0.066
RV,C,C,small,5.8,5.7,-0.02,1.28,1.42,0.11,0.656,0.767,0.111
RV,C,C,small,6,6.1,0.02,1.63,1.66,0.02,0.755,0.731,-0.024
RV,C,C,small,NA,5.4,NA,NA,1.26,NA,NA,0.8,NA
RV,C,C,small,5,5.1,0.02,0.72,0.9,0.25,0.576,0.678,0.102
RV,C,C,small,5.7,5.9,0.04,1.32,1.32,0,0.713,0.643,-0.07
RV,C,C,small,7.1,7.1,0,2.82,2.93,0.04,0.788,0.819,0.031
RV,C,C,small,6.2,6.2,0,1.42,1.36,-0.04,0.596,0.571,-0.025
RV,C,C,small,6.3,6.4,0.02,1.63,1.83,0.12,0.652,0.698,0.046
RV,C,C,small,6.1,6.2,0.02,1.39,1.6,0.15,0.612,0.671,0.059
RV,C,C,small,6.3,6.5,0.03,1.66,1.88,0.13,0.664,0.685,0.021
RV,C,C,small,5.4,5.7,0.06,0.95,1.23,0.29,0.603,0.664,0.061
RV,C,C,small,6.5,6.5,0,1.48,1.67,0.13,0.539,0.608,0.069
RV,C,C,small,5.3,5.4,0.02,0.81,1.04,0.28,0.544,0.66,0.116
RV,C,C,small,6.2,6.6,0.06,2.03,2.23,0.1,0.852,0.776,-0.076
RV,C,C,small,5.7,6,0.05,1.26,1.6,0.27,0.68,0.741,0.061
RV,C,C,small,6.2,6,-0.03,1.79,2.05,0.15,0.751,0.949,0.198
RV,C,C,small,5.9,5.9,0,1.17,1.3,0.11,0.57,0.633,0.063
RV,C,C,small,7,7,0,2.7,2.85,0.06,0.787,0.831,0.044
RV,C,C,small,6.2,6.4,0.03,1.67,1.93,0.16,0.701,0.736,0.035
RV,C,C,small,5.5,5.7,0.04,1.03,1.25,0.21,0.619,0.675,0.056
RV,C,C,small,5.6,5.4,-0.04,1.12,1.15,0.03,0.638,0.73,0.092
RV,C,C,small,5.9,5.9,0,1.24,1.33,0.07,0.604,0.648,0.044
RV,C,C,small,5.2,5.4,0.04,0.95,1.08,0.14,0.676,0.686,0.01
RV,C,C,small,4.7,5,0.06,0.68,0.9,0.32,0.655,0.72,0.065
RV,C,C,small,6,6.2,0.03,1.72,1.86,0.08,0.796,0.78,-0.016
RV,C,C,small,6.5,6.5,0,1.64,1.85,0.13,0.597,0.674,0.077
RV,C,C,small,6.5,6.5,0,2.1,2.11,0,0.765,0.768,0.003
RV,C,C,small,6.7,6.7,0,1.97,2.1,0.07,0.655,0.698,0.043
RV,C,C,small,6,6.1,0.02,1.43,1.63,0.14,0.662,0.718,0.056
RV,C,C,small,5.4,5.4,0,0.95,1.23,0.29,0.603,0.781,0.178
RV,C,C,small,6,6.4,0.07,1.33,1.56,0.17,0.616,0.595,-0.021
RV,C,C,small,5.6,5.8,0.04,1.18,1.36,0.15,0.672,0.697,0.025
RV,C,C,small,5.5,5.8,0.05,1.02,1.25,0.23,0.613,0.641,0.028
RV,C,C,small,5.1,5.4,0.06,0.8,1.12,0.4,0.603,0.711,0.108
RV,C,C,small,6,6.3,0.05,1.61,1.65,0.02,0.745,0.66,-0.085
RV,C,C,small,6,6,0,1.35,1.52,0.13,0.625,0.704,0.079
RV,C,C,small,6.4,6.7,0.05,1.78,1.83,0.03,0.679,0.608,-0.071
DWSC,D,C,small,5.8,5.5,-0.05,1.32,1.08,-0.18,0.677,0.649,-0.028
DWSC,D,C,small,5.4,5.6,0.04,1.02,0.81,-0.21,0.648,0.461,-0.187
DWSC,D,C,small,6.8,7.8,0.15,1.87,1.5,-0.2,0.595,0.316,-0.279
DWSC,D,C,small,6.3,6.2,-0.02,1.43,1.19,-0.17,0.572,0.499,-0.073
DWSC,D,C,small,6,5.8,-0.03,1.32,0.97,-0.27,0.611,0.497,-0.114
DWSC,D,C,small,5.3,5.2,-0.02,1.15,0.89,-0.23,0.772,0.633,-0.139
DWSC,D,C,small,5.6,5.7,0.02,1.13,1.06,-0.06,0.643,0.572,-0.071
DWSC,D,C,small,NA,6.2,NA,NA,1.09,NA,NA,0.457,NA
DWSC,D,C,small,5,5.2,0.04,0.84,0.65,-0.23,0.672,0.462,-0.21
DWSC,D,C,small,6.6,6.6,0,1.88,1.62,-0.14,0.654,0.563,-0.091
DWSC,D,C,small,5.5,5.7,0.04,1.03,0.89,-0.14,0.619,0.481,-0.138
DWSC,D,C,small,6.2,6.4,0.03,1.65,1.39,-0.16,0.692,0.53,-0.162
DWSC,D,C,small,NA,5.6,NA,NA,0.91,NA,NA,0.518,NA
DWSC,D,C,small,6.4,6.4,0,1.76,1.45,-0.18,0.671,0.553,-0.118
DWSC,D,C,small,6.4,6.5,0.02,1.74,0.96,-0.45,0.664,0.35,-0.314
DWSC,D,C,small,6,6.2,0.03,1.42,1.15,-0.19,0.657,0.483,-0.174
DWSC,D,C,small,6.5,6.4,-0.02,1.59,1.15,-0.28,0.579,0.439,-0.14
DWSC,D,C,small,6.3,6.3,0,1.27,0.98,-0.23,0.508,0.392,-0.116
DWSC,D,C,small,5.8,5.8,0,1.21,1.09,-0.1,0.62,0.559,-0.061
DWSC,D,C,small,5.8,6.3,0.09,1.54,1.31,-0.15,0.789,0.524,-0.265
DWSC,D,C,small,NA,6.2,NA,NA,1.12,NA,NA,0.47,NA
DWSC,D,C,small,5.5,5.5,0,0.93,0.79,-0.15,0.559,0.475,-0.084
DWSC,D,C,small,6.3,6.5,0.03,1.68,1.63,-0.03,0.672,0.594,-0.078
DWSC,D,C,small,5.8,6,0.03,1.41,1.29,-0.09,0.723,0.597,-0.126
DWSC,D,C,small,5.6,5.7,0.02,0.9,0.81,-0.1,0.512,0.437,-0.075
DWSC,D,C,small,6.4,6.4,0,1.76,1.53,-0.13,0.671,0.584,-0.087
DWSC,D,C,small,6.3,6.4,0.02,1.87,1.24,-0.34,0.748,0.473,-0.275
DWSC,D,C,small,6.5,6.6,0.02,2.02,1.88,-0.07,0.736,0.654,-0.082
DWSC,D,C,small,6.2,6,-0.03,1.59,1.43,-0.1,0.667,0.662,-0.005
DWSC,D,C,small,5.3,5.5,0.04,0.92,0.81,-0.12,0.618,0.487,-0.131
DWSC,D,C,small,6.6,5.3,-0.2,1.7,1.33,-0.22,0.591,0.893,0.302
DWSC,D,C,small,6.2,6.2,0,1.79,1.68,-0.06,0.751,0.705,-0.046
DWSC,D,C,small,6.3,6.4,0.02,1.83,1.65,-0.1,0.732,0.629,-0.103
DWSC,D,C,small,6.5,6.3,-0.03,1.73,1.44,-0.17,0.63,0.576,-0.054
DWSC,D,C,small,6.8,6.7,-0.01,2.06,1.86,-0.1,0.655,0.618,-0.037
DWSC,D,C,small,6.2,6.7,0.08,1.84,1.61,-0.12,0.772,0.535,-0.237
DWSC,D,C,small,5.4,5.5,0.02,1.1,0.94,-0.15,0.699,0.565,-0.134
DWSC,D,C,small,7,7,0,2.49,2.2,-0.12,0.726,0.641,-0.085
DWSC,D,C,small,6.4,6.7,0.05,1.84,1.61,-0.12,0.702,0.535,-0.167
DWSC,D,C,small,6.5,6.5,0,1.97,1.66,-0.16,0.717,0.604,-0.113
DWSC,D,C,small,6.8,6.4,-0.06,1.98,1.7,-0.14,0.63,0.648,0.018
DWSC,D,C,small,6,6,0,1.21,0.93,-0.23,0.56,0.431,-0.129
DWSC,D,C,small,5,5,0,0.85,0.76,-0.11,0.68,0.608,-0.072
DWSC,D,C,small,6.5,6.5,0,1.69,1.24,-0.27,0.615,0.452,-0.163
DWSC,D,C,small,5.9,6,0.02,1.23,1.01,-0.18,0.599,0.468,-0.131
DWSC,D,C,small,6.4,6.2,-0.03,1.65,1.47,-0.11,0.629,0.617,-0.012
DWSC,D,C,small,6.3,6.5,0.03,1.82,1.55,-0.15,0.728,0.564,-0.164
DWSC,D,C,small,NA,5.5,NA,NA,0.72,NA,NA,0.433,NA
DWSC,D,C,small,5.8,5.6,-0.03,1.25,1.08,-0.14,0.641,0.615,-0.026
DWSC,D,C,small,5.5,5.5,0,0.88,0.66,-0.25,0.529,0.397,-0.132
DWSC,D,C,small,6.5,6.5,0,1.98,1.64,-0.17,0.721,0.597,-0.124
DWSC,D,C,small,5.9,6.1,0.03,1.57,1.54,-0.02,0.764,0.678,-0.086
DWSC,D,C,small,6.3,6.4,0.02,1.54,1.41,-0.08,0.616,0.538,-0.078
DWSC,D,C,small,5.8,6.2,0.07,1.04,0.78,-0.25,0.533,0.327,-0.206
DWSC,D,C,small,6.7,6.7,0,1.99,1.63,-0.18,0.662,0.542,-0.12
DWSC,D,C,small,6.9,7.2,0.04,2.48,2.15,-0.13,0.755,0.576,-0.179
DWSC,D,C,small,NA,6.5,NA,NA,1.69,NA,NA,0.615,NA
DWSC,D,C,small,6.4,6.5,0.02,1.8,1.56,-0.13,0.687,0.568,-0.119
DWSC,D,C,small,6.3,6.4,0.02,1.6,1.28,-0.2,0.64,0.488,-0.152
RV,D,C,small,NA,5.6,NA,NA,1.16,NA,NA,0.661,NA
RV,D,C,small,NA,5.9,NA,NA,1.33,NA,NA,0.648,NA
RV,D,C,small,5.5,5.8,0.05,1.09,1.22,0.12,0.655,0.625,-0.03
RV,D,C,small,6.2,6.3,0.02,2.02,2.26,0.12,0.848,0.904,0.056
RV,D,C,small,6.3,6.5,0.03,1.65,1.72,0.04,0.66,0.626,-0.034
RV,D,C,small,5.6,6,0.07,1.11,1.39,0.25,0.632,0.644,0.012
RV,D,C,small,6.4,6.8,0.06,1.88,2,0.06,0.717,0.636,-0.081
RV,D,C,small,5.8,6.1,0.05,1.12,1.35,0.21,0.574,0.595,0.021
RV,D,C,small,6.3,6.5,0.03,1.4,1.65,0.18,0.56,0.601,0.041
RV,D,C,small,6.3,6.2,-0.02,1.22,1.35,0.11,0.488,0.566,0.078
RV,D,C,small,6.6,6.7,0.02,1.66,1.95,0.17,0.577,0.648,0.071
RV,D,C,small,6.5,6.7,0.03,1.46,1.94,0.33,0.532,0.645,0.113
RV,D,C,small,5.6,6,0.07,1.04,1.3,0.25,0.592,0.602,0.01
RV,D,C,small,5.7,6,0.05,1.27,1.4,0.1,0.686,0.648,-0.038
RV,D,C,small,4.9,4.9,0,0.6,0.71,0.18,0.51,0.603,0.093
RV,D,C,small,6.5,6.6,0.02,1.94,2.03,0.05,0.706,0.706,0
RV,D,C,small,NA,6,NA,NA,1.64,NA,NA,0.759,NA
RV,D,C,small,5.8,6,0.03,1.17,1.34,0.15,0.6,0.62,0.02
RV,D,C,small,5.7,5.9,0.04,1.2,1.38,0.15,0.648,0.672,0.024
RV,D,C,small,6,6.1,0.02,1.43,1.48,0.03,0.662,0.652,-0.01
RV,D,C,small,6.4,6.6,0.03,2.04,2.2,0.08,0.778,0.765,-0.013
RV,D,C,small,5.5,5.6,0.02,0.95,1.15,0.21,0.571,0.655,0.084
RV,D,C,small,6.1,6.4,0.05,1.45,1.72,0.19,0.639,0.656,0.017
RV,D,C,small,5.4,5.5,0.02,0.97,1.03,0.06,0.616,0.619,0.003
RV,D,C,small,6.3,6.4,0.02,1.69,1.86,0.1,0.676,0.71,0.034
RV,D,C,small,6,6.1,0.02,1.12,1.36,0.21,0.519,0.599,0.08
RV,D,C,small,5.2,5.9,0.13,1.1,1.22,0.11,0.782,0.594,-0.188
RV,D,C,small,5.4,5.8,0.07,0.98,1.2,0.22,0.622,0.615,-0.007
RV,D,C,small,5.9,6.1,0.03,1.1,1.36,0.24,0.536,0.599,0.063
RV,D,C,small,6.5,6.5,0,1.85,2.04,0.1,0.674,0.743,0.069
RV,D,C,small,6,6.3,0.05,1.63,1.84,0.13,0.755,0.736,-0.019
RV,D,C,small,6,6,0,1.28,1.38,0.08,0.593,0.639,0.046
RV,D,C,small,5.5,5.9,0.07,1.18,1.33,0.13,0.709,0.648,-0.061
RV,D,C,small,6.3,6.6,0.05,1.86,2.11,0.13,0.744,0.734,-0.01
RV,D,C,small,6.1,6.2,0.02,1.31,1.47,0.12,0.577,0.617,0.04
RV,D,C,small,6.2,6.2,0,1.85,2.01,0.09,0.776,0.843,0.067
RV,D,C,small,6.8,7,0.03,2.2,2.37,0.08,0.7,0.691,-0.009
RV,D,C,small,6,5.8,-0.03,1.33,1.47,0.11,0.616,0.753,0.137
RV,D,C,small,6.1,6.4,0.05,1.76,1.82,0.03,0.775,0.694,-0.081
RV,D,C,small,5.6,6.1,0.09,1.15,1.41,0.23,0.655,0.621,-0.034
RV,D,C,small,NA,5.3,NA,NA,0.92,NA,NA,0.618,NA
RV,D,C,small,NA,6.6,NA,NA,2.11,NA,NA,0.734,NA
RV,D,C,small,6.4,6.5,0.02,1.83,1.92,0.05,0.698,0.699,0.001
RV,D,C,small,6.3,6.5,0.03,1.96,2.15,0.1,0.784,0.783,-0.001
RV,D,C,small,5.7,5.8,0.02,0.9,1.06,0.18,0.486,0.543,0.057
RV,D,C,small,5.2,6,0.15,1.29,1.51,0.17,0.917,0.699,-0.218
RV,D,C,small,6,6.1,0.02,1.58,1.7,0.08,0.731,0.749,0.018
RV,D,C,small,6,6.2,0.03,1.44,1.56,0.08,0.667,0.655,-0.012
RV,D,C,small,5.3,5.8,0.09,0.96,1.27,0.32,0.645,0.651,0.006
RV,D,C,small,6.6,6.8,0.03,2.17,2.27,0.05,0.755,0.722,-0.033
RV,D,C,small,NA,5.9,NA,NA,1.41,NA,NA,0.687,NA
RV,D,C,small,5.7,5.9,0.04,1.14,1.28,0.12,0.616,0.623,0.007
DWSC,D,C,small,5.9,6,0.02,1.28,1.41,0.1,0.623,0.653,0.03
RV,D,C,small,6,6.5,0.08,1.47,1.89,0.29,0.681,0.688,0.007
RV,D,C,small,6.3,6.5,0.03,1.76,1.89,0.07,0.704,0.688,-0.016
RV,D,C,small,6.1,6.2,0.02,1.49,1.61,0.08,0.656,0.676,0.02
RV,D,C,small,6.3,6.5,0.03,1.51,1.76,0.17,0.604,0.641,0.037
RV,D,C,small,5.6,5.9,0.05,1.1,1.34,0.22,0.626,0.652,0.026
RV,D,C,small,5.4,5.6,0.04,1.01,1.18,0.17,0.641,0.672,0.031
RV,D,C,small,5.6,5.8,0.04,1.23,1.38,0.12,0.7,0.707,0.007
RV,D,C,small,6,6.4,0.07,1.44,1.64,0.14,0.667,0.626,-0.041
RV,D,C,small,5.9,6.1,0.03,1.25,1.5,0.2,0.609,0.661,0.052
RV,D,C,small,5.5,6,0.09,0.95,1.25,0.32,0.571,0.579,0.008
RV,D,C,small,NA,6.3,NA,NA,1.56,NA,NA,0.624,NA
RV,D,C,small,4.9,5.2,0.06,0.68,0.96,0.41,0.578,0.683,0.105
DWSC,E,A,wrap,5.7,5.6,-0.02,1.16,1.04,-0.1,0.626,0.592,-0.034
DWSC,E,A,wrap,6.4,6.4,0,1.73,1.55,-0.1,0.66,0.591,-0.069
DWSC,E,A,wrap,6.8,6.8,0,2.07,1.77,-0.14,0.658,0.563,-0.095
DWSC,E,A,wrap,6,6.1,0.02,1.67,1.52,-0.09,0.773,0.67,-0.103
DWSC,E,A,wrap,5.5,5.5,0,0.99,0.8,-0.19,0.595,0.481,-0.114
DWSC,E,A,wrap,6.4,6.2,-0.03,1.65,1.38,-0.16,0.629,0.579,-0.05
DWSC,E,A,wrap,6.8,6.7,-0.01,1.87,1.79,-0.04,0.595,0.595,0
DWSC,E,A,wrap,6,6.1,0.02,1.39,1.3,-0.06,0.644,0.573,-0.071
DWSC,E,A,wrap,6.3,6.4,0.02,2.05,1.86,-0.09,0.82,0.71,-0.11
DWSC,E,A,wrap,6.4,6.4,0,1.61,1.37,-0.15,0.614,0.523,-0.091
DWSC,E,A,wrap,6,6.1,0.02,1.25,1.05,-0.16,0.579,0.463,-0.116
DWSC,E,A,wrap,5.8,6,0.03,1.35,1.17,-0.13,0.692,0.542,-0.15
DWSC,E,A,wrap,6.3,6.3,0,1.5,1.28,-0.15,0.6,0.512,-0.088
DWSC,E,A,wrap,6.3,6.2,-0.02,1.76,1.39,-0.21,0.704,0.583,-0.121
DWSC,E,A,wrap,5.3,5.6,0.06,1.1,1.14,0.04,0.739,0.649,-0.09
DWSC,E,A,wrap,5.6,5.5,-0.02,1.11,0.93,-0.16,0.632,0.559,-0.073
DWSC,E,A,wrap,6.5,6.5,0,1.87,1.12,-0.4,0.681,0.408,-0.273
DWSC,E,A,wrap,6.4,6.4,0,1.87,1.53,-0.18,0.713,0.584,-0.129
DWSC,E,A,wrap,NA,6.8,NA,NA,2.16,NA,NA,0.687,NA
DWSC,E,A,wrap,6.1,6.2,0.02,1.64,1.38,-0.16,0.723,0.579,-0.144
DWSC,E,A,wrap,6.5,6.6,0.02,2.11,1.81,-0.14,0.768,0.63,-0.138
DWSC,E,A,wrap,6.3,6.4,0.02,1.73,1.56,-0.1,0.692,0.595,-0.097
DWSC,E,A,wrap,6.4,5.7,-0.11,1.8,0.96,-0.47,0.687,0.518,-0.169
DWSC,E,A,wrap,6.6,5.8,-0.12,1.25,1.11,-0.11,0.435,0.569,0.134
DWSC,E,A,wrap,NA,5.5,NA,NA,1.12,NA,NA,0.673,NA
DWSC,E,A,wrap,6.6,6.5,-0.02,1.7,1.42,-0.16,0.591,0.517,-0.074
DWSC,E,A,wrap,6.7,6.5,-0.03,1.92,1.51,-0.21,0.638,0.55,-0.088
DWSC,E,A,wrap,6.4,6.4,0,1.8,1.55,-0.14,0.687,0.591,-0.096
DWSC,E,A,wrap,6.5,6.6,0.02,2.01,1.81,-0.1,0.732,0.63,-0.102
DWSC,E,A,wrap,5.6,5.8,0.04,1.31,1.23,-0.06,0.746,0.63,-0.116
DWSC,E,A,wrap,6.5,6.5,0,2.11,1.48,-0.3,0.768,0.539,-0.229
DWSC,E,A,wrap,5.7,5.6,-0.02,1.04,0.8,-0.23,0.562,0.456,-0.106
DWSC,E,A,wrap,NA,5.5,NA,NA,1.02,NA,NA,0.613,NA
DWSC,E,A,wrap,6,6,0,1.19,0.89,-0.25,0.551,0.412,-0.139
DWSC,E,A,wrap,6,6.2,0.03,1.26,1.04,-0.17,0.583,0.436,-0.147
DWSC,E,A,wrap,6.4,6.5,0.02,1.91,1.88,-0.02,0.729,0.685,-0.044
DWSC,E,A,wrap,6,6,0,1.31,1.27,-0.03,0.606,0.588,-0.018
DWSC,E,A,wrap,5.6,5.6,0,1.14,0.94,-0.18,0.649,0.535,-0.114
DWSC,E,A,wrap,5.7,5.7,0,1.09,0.83,-0.24,0.589,0.448,-0.141
DWSC,E,A,wrap,6.6,6.5,-0.02,1.76,1.55,-0.12,0.612,0.564,-0.048
DWSC,E,A,wrap,6.5,6.4,-0.02,1.98,1.86,-0.06,0.721,0.71,-0.011
DWSC,E,A,wrap,6.7,6.6,-0.01,1.92,1.56,-0.19,0.638,0.543,-0.095
DWSC,E,A,wrap,5.8,6,0.03,1.49,1.47,-0.01,0.764,0.681,-0.083
DWSC,E,A,wrap,5.9,5.8,-0.02,1.22,1,-0.18,0.594,0.513,-0.081
DWSC,E,A,wrap,5.9,5.7,-0.03,1.36,1.24,-0.09,0.662,0.67,0.008
DWSC,E,A,wrap,5.8,5.9,0.02,1.14,0.91,-0.2,0.584,0.443,-0.141
DWSC,E,A,wrap,6.2,6.1,-0.02,1.47,1.18,-0.2,0.617,0.52,-0.097
DWSC,E,A,wrap,5.4,5.4,0,1.04,0.9,-0.13,0.66,0.572,-0.088
RV,E,A,wrap,4.9,5,0.02,0.9,0.96,0.07,0.765,0.768,0.003
RV,E,A,wrap,5.6,5.7,0.02,1.23,1.33,0.08,0.7,0.718,0.018
RV,E,A,wrap,6.4,6.6,0.03,1.76,1.68,-0.05,0.671,0.584,-0.087
RV,E,A,wrap,6.3,6.2,-0.02,1.66,1.7,0.02,0.664,0.713,0.049
RV,E,A,wrap,5.9,6.1,0.03,1.08,1.25,0.16,0.526,0.551,0.025
RV,E,A,wrap,6.5,6.1,-0.06,2.06,2.08,0.01,0.75,0.916,0.166
RV,E,A,wrap,6.3,6.1,-0.03,1.6,1.64,0.02,0.64,0.723,0.083
RV,E,A,wrap,6.2,5.9,-0.05,1.46,1.49,0.02,0.613,0.725,0.112
RV,E,A,wrap,4.9,5,0.02,0.65,0.87,0.34,0.552,0.696,0.144
RV,E,A,wrap,5.8,6.1,0.05,1.45,1.61,0.11,0.743,0.709,-0.034
RV,E,A,wrap,6.2,6.3,0.02,1.36,1.45,0.07,0.571,0.58,0.009
RV,E,A,wrap,6.3,6.5,0.03,1.76,1.91,0.09,0.704,0.695,-0.009
RV,E,A,wrap,5.6,5.6,0,1.2,1.35,0.13,0.683,0.769,0.086
RV,E,A,wrap,NA,5.5,NA,NA,1,NA,NA,0.601,NA
RV,E,A,wrap,5.4,5.8,0.07,0.9,1.16,0.29,0.572,0.595,0.023
RV,E,A,wrap,5.2,5.3,0.02,0.95,1.02,0.07,0.676,0.685,0.009
RV,E,A,wrap,6.4,6.3,-0.02,1.6,1.91,0.19,0.61,0.764,0.154
RV,E,A,wrap,6.3,6.2,-0.02,1.69,1.76,0.04,0.676,0.738,0.062
RV,E,A,wrap,5.3,5.5,0.04,0.92,1.07,0.16,0.618,0.643,0.025
RV,E,A,wrap,5.6,5.8,0.04,1.12,1.3,0.16,0.638,0.666,0.028
DWSC,E,A,wrap,5.9,5.9,0,1.1,0.85,-0.23,0.536,0.414,-0.122
DWSC,E,A,wrap,6.3,6.3,0,1.37,1.04,-0.24,0.548,0.416,-0.132
DWSC,E,A,wrap,6.5,6.5,0,1.7,1.43,-0.16,0.619,0.521,-0.098
DWSC,E,A,wrap,6.5,6.5,0,1.87,1.67,-0.11,0.681,0.608,-0.073
DWSC,E,A,wrap,6,6,0,1.66,1.49,-0.1,0.769,0.69,-0.079
DWSC,E,A,wrap,6.5,6.6,0.02,2.14,1.94,-0.09,0.779,0.675,-0.104
DWSC,E,A,wrap,5,5.2,0.04,0.91,0.78,-0.14,0.728,0.555,-0.173
DWSC,E,A,wrap,6.3,6.3,0,1.45,1.21,-0.17,0.58,0.484,-0.096
DWSC,E,A,wrap,5.6,5.7,0.02,0.98,0.75,-0.23,0.558,0.405,-0.153
DWSC,E,A,wrap,6.3,6.3,0,1.75,1.54,-0.12,0.7,0.616,-0.084
DWSC,E,A,wrap,NA,6.6,NA,NA,1.65,NA,NA,0.574,NA
DWSC,E,A,wrap,6.5,6.5,0,1.8,1.39,-0.23,0.655,0.506,-0.149
RV,E,A,wrap,6.8,6.9,0.01,2.58,2.66,0.03,0.821,0.81,-0.011
RV,E,A,wrap,4.9,5.5,0.12,0.85,1.07,0.26,0.722,0.643,-0.079
RV,E,A,wrap,6.3,6.5,0.03,1.57,1.7,0.08,0.628,0.619,-0.009
RV,E,A,wrap,5.7,6.2,0.09,1.28,1.52,0.19,0.691,0.638,-0.053
RV,E,A,wrap,6,5.8,-0.03,1.19,1.32,0.11,0.551,0.677,0.126
RV,E,A,wrap,5.5,5.9,0.07,1.06,1.38,0.3,0.637,0.672,0.035
RV,E,A,wrap,5.6,5.8,0.04,1.17,1.37,0.17,0.666,0.702,0.036
RV,E,A,wrap,5.8,5.9,0.02,1.07,1.62,0.51,0.548,0.789,0.241
RV,E,A,wrap,7,7.2,0.03,2.74,2.8,0.02,0.799,0.75,-0.049
RV,E,A,wrap,6.5,6.5,0,2.04,2.26,0.11,0.743,0.823,0.08
RV,E,A,wrap,5.5,5.7,0.04,1.09,1.31,0.2,0.655,0.707,0.052
RV,E,A,wrap,NA,6.2,NA,NA,1.81,NA,NA,0.759,NA
RV,E,A,wrap,6,6.2,0.03,1.8,1.7,-0.06,0.833,0.713,-0.12
RV,E,A,wrap,6.7,6.7,0,2.17,2.29,0.06,0.721,0.761,0.04
RV,E,A,wrap,5,6.1,0.22,0.97,1.58,0.63,0.776,0.696,-0.08
RV,E,A,wrap,5.1,5.5,0.08,0.91,1.15,0.26,0.686,0.691,0.005
RV,E,A,wrap,6.1,6.4,0.05,1.59,1.72,0.08,0.7,0.656,-0.044
RV,E,A,wrap,6.4,6.6,0.03,1.48,1.73,0.17,0.565,0.602,0.037
RV,E,A,wrap,6,6.1,0.02,1.48,1.63,0.1,0.685,0.718,0.033
RV,E,A,wrap,6,5.9,-0.02,1.49,1.7,0.14,0.69,0.828,0.138
RV,E,A,wrap,5.3,5.3,0,0.94,1.1,0.17,0.631,0.739,0.108
RV,E,A,wrap,5.5,5.8,0.05,0.98,1.32,0.35,0.589,0.677,0.088
RV,E,A,wrap,6.1,6.4,0.05,1.63,1.9,0.17,0.718,0.725,0.007
