"","term","df","SumOfSqs","R2","statistic","p.value"
"1","Location",2,14.7950543241454,0.575985897733711,98.2864313392233,0.001
"2","datatype",1,1.76029280151696,0.0685299159666656,23.3879367770716,0.001
"3","Location:datatype",2,2.28202597251058,0.0888414972754135,15.1599435965195,0.001
"4","Residual",91,6.84911398833105,0.26664268902421,NA,NA
"5","Total",96,25.686487086504,1,NA,NA
