"","Site","Type","SiteType","Nsmelt","MeanDist","sdDist"
"1","Rio Vista","Hard","Hard Rio Vista",13,34950.2709062998,15246.2965733761
"2","Rio Vista","Hard (Trailer)","Hard (Trailer) Rio Vista",2,41458.4469001035,5753.93320452912
"3","SDWSC","Hard","Hard SDWSC",11,21621.1135277735,26321.4935299809
"4","SDWSC","Soft","Soft SDWSC",10,19709.8643646803,7370.21668907865
