"","Release","meadist","SD","CV"
"1","RV Hard",29752.6345495162,26343.5088085765,0.88541768510395
"2","RV Hard Trailer",32799.1285750398,37873.1714239687,1.15470053837925
"3","DWSC hard",11236.2803841202,11414.8480689765,1.01589206381043
"4","DWSC soft",29997.8269749457,29532.51085407,0.984488339063215
