"","Df","SumOfSqs","R2","F","Pr(>F)"
"Treatment",1,0.213739124264985,0.00938867266398874,1.23033684925216,0.309
"Site",1,2.57729962903352,0.113210076335938,14.835593231086,0.001
"Type",2,9.02998298714797,0.396649676184756,25.9894412298486,0.001
"Residual",63,10.9446163763028,0.480751574815317,NA,NA
"Total",67,22.7656381167493,1,NA,NA
