"","Df","SumOfSqs","R2","F","Pr(>F)"
"Treatment",1,0.108525210154143,0.0064163550740613,0.45806367958509,0.843
"Site",1,2.36777376233958,0.139990304304763,9.993909806411,0.001
"Type",2,3.7760671508107,0.223253081829444,7.96902033639929,0.001
"Residual",45,10.6614749751824,0.630340258791732,NA,NA
"Total",49,16.9138410984868,1,NA,NA
