"","Df","SumOfSqs","R2","F","Pr(>F)"
"Treatment",1,0.125778444290533,0.00504695333739153,0.690540584356677,0.662
"Site",1,3.08115776029407,0.123633739700471,16.9159707157288,0.001
"Type",2,10.239593078679,0.410871264575341,28.1083719392839,0.001
"Residual",63,11.4751285729076,0.460448042386796,NA,NA
"Total",67,24.9216578561712,1,NA,NA
