"","Df","SumOfSqs","R2","F","Pr(>F)"
"Type",1,0.0356787300346624,0.0154194677507357,0.666906719407404,0.554
"Site",1,1.47571439106386,0.637767388026402,27.5840491623599,0.001
"Residual",15,0.80248246860593,0.346813144222862,NA,NA
"Total",17,2.31387558970445,1,NA,NA
